0.77, 0.04, 1.21, laptop
-0.27, -0.20, 2.49, laptop
nan, nan, nan, cup
-0.48, -0.28, 0.88, person
1.29, -0.14, 1.57, person
-1.10, -1.55, 3.76, tv
0.79, 0.01, 1.22, laptop
-0.16, -0.15, 2.20, laptop
-inf, nan, nan, cup
1.34, -0.21, 1.54, person
-0.49, -0.24, 0.91, person
1.37, -0.16, 1.00, person
0.82, -0.04, 1.19, laptop
0.64, -0.08, 1.21, bottle
1.60, 0.02, 1.40, chair
-1.16, -1.55, 4.08, tv
-0.15, -0.14, 2.26, laptop
-inf, nan, nan, cup
1.35, -0.22, 1.52, person
1.36, -0.17, 0.98, person
-0.52, -0.24, 0.96, person
-1.22, -1.63, 4.30, tv
2.26, -0.16, 2.14, chair
-0.17, -0.16, 2.54, laptop
-inf, nan, nan, cup
1.36, -0.22, 1.52, person
1.35, -0.16, 0.98, person
-1.21, -1.62, 4.33, tv
-0.12, -0.12, 2.07, laptop
-inf, nan, nan, cup
1.36, -0.22, 1.51, person
1.35, -0.17, 0.98, person
1.58, 0.00, 1.35, chair
-0.11, -0.11, 1.98, laptop
-inf, nan, nan, cup
1.36, -0.23, 1.51, person
1.35, -0.18, 0.98, person
0.65, -0.09, 1.19, bottle
1.62, -0.01, 1.37, chair
-1.18, -1.55, 4.20, tv
2.76, -0.26, 2.58, chair
0.84, -0.05, 1.19, laptop
-0.10, -0.10, 1.85, laptop
-inf, nan, nan, cup
1.37, -0.23, 1.54, person
1.35, -0.17, 0.98, person
-0.49, -0.22, 0.93, person
0.82, -0.04, 1.17, laptop
-0.11, -0.11, 1.98, laptop
-inf, nan, nan, cup
1.35, -0.23, 1.54, person
1.34, -0.16, 0.97, person
-1.19, -1.59, 4.26, tv
2.58, -0.21, 2.40, chair
0.83, -0.04, 1.17, laptop
-0.11, -0.12, 2.00, laptop
-inf, nan, nan, cup
1.35, -0.23, 1.54, person
1.32, -0.16, 0.95, person
2.44, -0.17, 2.27, chair
0.84, -0.04, 1.18, laptop
-1.17, -1.56, 4.20, tv
-0.12, -0.13, 2.22, laptop
0.15, 0.05, 0.32, cup
1.38, -0.24, 1.53, person
-0.51, -0.23, 0.97, person
1.34, -0.16, 0.96, person
-1.16, -1.58, 4.28, tv
0.84, -0.04, 1.18, laptop
-0.08, -0.10, 1.79, laptop
0.15, 0.05, 0.32, cup
1.38, -0.24, 1.53, person
1.33, -0.16, 0.96, person
0.64, -0.08, 1.16, bottle
-1.19, -1.60, 4.32, tv
1.69, -0.01, 1.42, chair
2.86, -0.25, 2.60, chair
-0.10, -0.11, 1.97, laptop
0.15, 0.05, 0.32, cup
1.37, -0.24, 1.54, person
-2.62, -1.12, 4.01, person
1.32, -0.15, 0.95, person
-1.24, -1.65, 4.46, tv
-0.11, -0.12, 2.09, laptop
0.15, 0.05, 0.32, cup
1.36, -0.24, 1.54, person
1.33, -0.15, 0.96, person
-1.14, -1.52, 4.11, tv
0.71, -0.10, 1.29, bottle
-0.09, -0.10, 1.86, laptop
-inf, nan, nan, cup
1.38, -0.25, 1.54, person
1.32, -0.15, 0.95, person
-1.20, -1.58, 4.29, tv
1.59, -0.01, 1.34, chair
-0.13, -0.12, 2.20, laptop
-inf, nan, nan, cup
1.40, -0.25, 1.54, person
1.33, -0.15, 0.96, person
-1.41, -1.83, 4.96, tv
-0.11, -0.11, 1.96, laptop
-inf, nan, nan, cup
1.40, -0.25, 1.54, person
-0.48, -0.21, 0.92, person
1.33, -0.15, 0.97, person
-1.33, -1.74, 4.69, tv
-0.10, -0.11, 1.97, laptop
-inf, nan, nan, cup
1.40, -0.25, 1.54, person
-2.45, -1.04, 3.77, person
1.32, -0.14, 0.96, person
-1.24, -1.63, 4.44, tv
-0.11, -0.11, 2.02, laptop
-inf, nan, nan, cup
1.40, -0.25, 1.55, person
-0.88, -0.38, 1.50, person
1.31, -0.14, 0.96, person
-1.21, -1.60, 4.35, tv
-0.06, -0.08, 1.59, laptop
0.15, 0.05, 0.32, cup
1.41, -0.26, 1.54, person
-0.87, -0.37, 1.49, person
1.31, -0.14, 0.95, person
-1.22, -1.61, 4.41, tv
0.68, -0.09, 1.22, bottle
-0.09, -0.10, 1.91, laptop
0.15, 0.05, 0.32, cup
1.41, -0.26, 1.54, person
-0.53, -0.22, 0.99, person
1.30, -0.14, 0.94, person
0.72, -0.10, 1.30, bottle
-1.22, -1.59, 4.39, tv
-0.10, -0.11, 2.07, laptop
